title,price,reg_price,rate,rate_count,text,specs
"Котел электрический электрокотел для отопления Eco KE, 9 кВт",6487,25440,3.5,39,"Подробные характеристики каждой модели смотреть на фото. Котел электрический отопительный Oasis предназначен для водяного отопления в загородных домах, дачах, жилых и производственных помещениях, которые имеют открытую или закрытую отопительную систему. Электрокотел отопления используется как основной источник отопления, а также как дополнительный с котлами, работающими на твердом топливе. Для экономии электроэнергии электрический котел отопления оснащен встраиваемым пультом управления с 3-х ступенчатой регулировкой мощности, а также плавным управлением температуры в системе отопления в диапазоне от 30 до 90°С. Котел отопительный оборудован автоматической системой безопасности, включая защиту от перегрева. Котел отопления электрический имеет уникальную конструкцию, позволяющую подключать систему как с правой, так и с левой стороны. Котел для отопления имеет высокоэффективный стальной ТЭН и прочное полимерное покрытие. Электрокотел для отопления Oasis – это привлекательный дизайн, простота монтажа, управления и технического обслуживания.","{""Модель"": ""КE-9"", ""Гарантийный срок"": ""2 года"", ""Количество контуров"": ""1; одноконтурный"", ""Тип камеры сгорания"": ""нет"", ""Потребляемая мощность"": ""9000 Вт"", ""Рекомендуемая площадь помещения (кв.м)"": ""85 кв. м"", ""Температура горячей воды (°C)"": ""90 C"", ""Варианты установки"": ""настенный"", ""Тепловая мощность"": ""9 кВт"", ""Страна производства"": ""Россия"", ""Тип отопительного котла"": ""электрический"", ""Вес без упаковки (кг)"": ""10 кг"", ""Глубина предмета"": ""14 см"", ""Вес с упаковкой (кг)"": ""10.5 кг"", ""Ширина предмета"": ""20.5 см"", ""Высота предмета"": ""62 см"", ""Длина упаковки"": ""64 см"", ""Высота упаковки"": ""15 см"", ""Ширина упаковки"": ""22 см""}"
Котел электрический электрокотел для отопления Eco KE-12,6762,26520,3.5,39,"Подробные характеристики каждой модели смотреть на фото. Котел электрический отопительный Oasis предназначен для водяного отопления в загородных домах, дачах, жилых и производственных помещениях, которые имеют открытую или закрытую отопительную систему. Электрокотел отопления используется как основной источник отопления, а также как дополнительный с котлами, работающими на твердом топливе. Для экономии электроэнергии электрический котел отопления оснащен встраиваемым пультом управления с 3-х ступенчатой регулировкой мощности, а также плавным управлением температуры в системе отопления в диапазоне от 30 до 90°С. Котел отопительный оборудован автоматической системой безопасности, включая защиту от перегрева. Котел отопления электрический имеет уникальную конструкцию, позволяющую подключать систему как с правой, так и с левой стороны. Котел для отопления имеет высокоэффективный стальной ТЭН и прочное полимерное покрытие. Электрокотел для отопления Oasis – это привлекательный дизайн, простота монтажа, управления и технического обслуживания.","{""Ширина предмета"": ""20.5 см"", ""Вес с упаковкой (кг)"": ""10.5 кг"", ""Высота предмета"": ""62 см"", ""Глубина предмета"": ""14 см"", ""Вес без упаковки (кг)"": ""10 кг"", ""Длина упаковки"": ""64 см"", ""Высота упаковки"": ""15 см"", ""Ширина упаковки"": ""22 см"", ""Страна производства"": ""Россия"", ""Количество контуров"": ""1; одноконтурный"", ""Потребляемая мощность"": ""12000 Вт"", ""Рекомендуемая площадь помещения (кв.м)"": ""110 кв. м"", ""Тип камеры сгорания"": ""нет"", ""Тип отопительного котла"": ""электрический"", ""Тепловая мощность"": ""12 кВт"", ""Варианты установки"": ""настенный"", ""Температура горячей воды (°C)"": ""90 C"", ""Гарантийный срок"": ""2 года"", ""Модель"": ""КE-12""}"
Котел электрический Balance 3кВт в сборе,15486,18219,5.0,2,"Функциональность 

Модельный ряд от 3 до 15 кВт; 

присоединительные размеры патрубков 1 1/4''.

Безопасность теплоизолированный корпус; 

порошковая покраска всех элементов; 

регулировка температуры нагрева воды от +30 до +900С;

         Надежность

блоки ТЭН из нержавеющей трубки диаметром 7,4 мм специальной конструкции с пониженной ваттной нагрузкой (возможна замена с помощью обычного ключа);

возможно использование незамерзающих теплоносителей; 

рабочее давление 6 атмосфер;

удобство сервисного обслуживания;

Экономичность

экономичная, простая, малогабаритная модель;

капиллярный термостат с инерционностью не более 3 oC;

возможно подключение внешнего хронотермостата;

три ступени мощности для эффективного расходования электроэнергии;

бесшумная работа силового блока за счет применения электромагнитных реле в коммутирующей схеме.","{""Рекомендуемая площадь помещения (кв.м)"": ""30 кв. м"", ""Тип отопительного котла"": ""электрический"", ""Тепловая мощность"": ""3кВт"", ""Количество контуров"": ""1"", ""Страна производства"": ""Россия"", ""Модель"": ""Balance"", ""Длина упаковки"": ""25 см"", ""Высота упаковки"": ""75 см"", ""Ширина упаковки"": ""40 см""}"
Электрокотел 9кВт. (90 м2),49300,61053,3.9,11,"Электрический котел Arderia E9v3. предназначен для отопления помещений до 90 квадратных метров.

 НАСТЕННЫЙ ЭЛЕКТРИЧЕСКИЙ КОТЕЛ. МИНИКОТЕЛЬНАЯ E: от 4-х до 24 -х КВТ.  С возможностью подключения бойлера. 
Котлы ARDERIA - это настенные электрические котлы для отопления и горячего водоснабжения мощностью от 4 до 24 кВт. Площадь отапливаемого помещения до 240 м2. Выпускаются котлы ARDERIA серии «Е» на собственном производстве в России. Они сочетают в себе экономичность, высокое качество и надежность. При своих минимальных габаритах (63,5 см х 39 см х 19 см), котёл включает в себя: бак, трёхскоростной циркуляционный насос, группу гидравлической безопасности, кран подпитки и электронное управление с самодиагностикой. Это мини-котельная полного комплекта.  Проверка всех котлов и всех режимов работы с реальным подключением теплоносителя и энергопитания на испытательном стенде на заводе.  Особенности: •Использование семисторного управления мощностью электрического котла; •Алгоритмы работы, обеспечивающие плавность изменения нагрузки на электрическую сеть; •Возможность ограничения максимальной мощности; •Возможность точной регулировки температуры; •Дополнительная электронная защита симисторов от скачков напряжения питающей сети;  •Использование любой марки антифриза, предназначенного для бытовых отопительных систем;  •Алгоритм чередования последовательности включения ТЭНов ; •Низкий уровень шума (38 дБ); •Медные внутренние патрубки; •Простота и удобство монтажа; •Надёжность.   Котёл, который экономит ваши деньги и служит долго, благодаря преимуществам: •Бесшумная регулировка мощности с помощью симисторов; •Высокий срок службы нагревательных элементов, благодаря алгоритму чередования их работы; •Самый высокий КПД в классе электрических мини-котельных; •Применим любой теплоноситель: обеспечена температура нагрева не выше 90°С; •Наглядный: цифровой информационный дисплей; •.Надёжный: 100% выходной контроль на испытательном стенде после сборки.  •Умный: интеллектуальная система управления работой котла с самодиагностикой и встроенный суточный таймер.  •Длительный срок службы: полностью стальной корпус, надёжные европейские комплектующие.  •Полноценный: возможность подключения бойлера косвенного нагрева ГВС, удалённого управления с помощью выносного комнатного термостата, эффективного использования «ночных» тарифов электроснабжения.  Контроль температуры; •Возможность управления котлом через WI FI модуль (не входит в комплект котла); •Возможность подключения комнатного датчика (не входит в комплект котла); • Регулировка температуры: 30-80С.  •Режим таймер; •Регулировка и автоматическое поддержания температуры отопления и гвс.  •Индикация температуры отопления и ГВС.Контроль и безопасность: •Электронная система самодиагностики; •Защита от замерзания; •Защита от скачков напряжения; •Защита от аварийного отключения питания; • Защита от высокого давления теплоносителя; •Защита от наличия воздуха в теплоносителе; • Защита от «сухого хода» - без заполненных труб в системе отопления, котёл не запустится### Комплектация:  Котел, планка для установки котла, коробка, паспорт.   Подключение отопительного контура: 3/4"" Количество ступеней мощности: 3; Рабочее давление, бар:  1.5. Тип электрического котла:  ТЭН/ КПД, %:  99.5  Макс. давление воды в контуре отопления, бар: 3   Безопасность:  Автодиагностика,  Воздухоотводчик,  Защита от блокировки насоса, Защита от замерзания, Защита от перегрева, Предохранительный клапан.  Особенности котла:  Воздухоотводчик, Встроенный расширительный бак, Встроенный циркуляционный насос, Манометр.","{""Глубина предмета"": ""19 см"", ""Высота предмета"": ""63.5 см"", ""Ширина предмета"": ""39 см"", ""Вес с упаковкой (кг)"": ""20.5 кг"", ""Вес без упаковки (кг)"": ""19.5 кг"", ""Длина упаковки"": ""25 см"", ""Высота упаковки"": ""70 см"", ""Ширина упаковки"": ""45 см"", ""Тип отопительного котла"": ""электрический"", ""Страна производства"": ""Россия"", ""Количество контуров"": ""1"", ""Варианты установки"": ""настенный"", ""Потребляемая мощность"": ""900 Вт"", ""Рекомендуемая площадь помещения (кв.м)"": ""90 кв. м"", ""Тип камеры сгорания"": ""закрытая"", ""Модель"": ""E9,v3"", ""Гарантийный срок"": ""2 года""}"
ТЭН для котла отопления ТЭНБ-3кВт нерж.сталь,1552,2900,4.7,3,"Блок электронагревателей трубчатых ТЭНБ-3 из нержавеющей стали с фланцем G2 1/2"" (74мм) предназначен для нагрева воды. Представляет собой один ТЭН или группу ТЭН, смонтированных в резьбовом фланце. Эксплуатировать ТЭНБ можно только в среде, для которой они предназначены. Активная часть корпуса электронагревателей ТЭНБ должна полностью находиться в рабочей среде. Предприятие изготовитель гарантирует соответствие ТЭНБ-3 требованиям технических условий при соблюдении потребителем условий эксплуатации и хранения.","{""Модель"": ""ТЭНБ"", ""Гарантийный срок"": ""6мес. с даты покупки"", ""Вес с упаковкой (кг)"": ""1 кг"", ""Высота предмета"": ""7 см"", ""Вес без упаковки (кг)"": ""1 кг"", ""Глубина предмета"": ""7 см"", ""Ширина предмета"": ""35 см"", ""Длина упаковки"": ""10 см"", ""Высота упаковки"": ""12 см"", ""Ширина упаковки"": ""44 см"", ""Тип отопительного котла"": ""электрический"", ""Потребляемая мощность"": ""3000 Вт"", ""Варианты установки"": ""встраиваемый"", ""Страна производства"": ""Россия""}"
"Блок ТЭН 12 кВт для электрокотла 74 мм.(2,5""), 220-380 В.",2082,2450,,0,"

Блок-тэн 12 кВт (3×4 кВт) для электрокотлов, бойлеров, водонагревателей. 

Материал - легированная сталь. 

Резьба - трубная 2,5"" (G2,5"" дюйма, 74-76 мм). 

Гайка 86 мм под ключ. 

Рабочая длина тэна 440 мм. 

Может подключаться как к однофазной (220 В), так и к трёхфазной сети (380 В). 

Производство Россия, г. Миасс. 

ТЭНБ 12000 Вт - это группа из трех трубчатых нагревательных элементов по 4000 Вт каждый, закрепленных на стальном фланце. 

Блочный тэн (СЭВ,ТЭНБ) подходит для многих марок электрических котлов систем отопления и прочих конструкций нагрева теплоносителя (воды) в.т.ч. Алтерм, Электромаш, Эван, ЭВПМ и др. 

Дорогой покупатель, будем рады Вашим отзывам на наши товары!","{""Страна производства"": ""Россия"", ""Модель"": ""ТЭН 12 кВт"", ""Длина упаковки"": ""60 см"", ""Высота упаковки"": ""15 см"", ""Ширина упаковки"": ""15 см""}"
Электрический котел отопления 12 кВт.,48526,86500,,0,"Котел отопления ""Интоис Оптима Н"" предназначен для отопления индивидуальных жилых домов, коттеджей, дач, торговых помещений и других отдельно расположенных зданий различного назначения, а также как индивидуальный квартирный генератор тепла. Электрокотел с погодозависимой автоматикой. Полностью автоматизирован и имеет микропроцессорное управление. Предусмотрено 2 режима работы и 4 программы настройки, что позволяет оптимизировать эксплуатацию котла и существенно снижает потребление электроэнергии. Основные параметры: Мощность: 12 кВт (380 В); Ступени переключения: 3*4 кВт; Площадь отапливаемого помещения: 120 кв.м .; Вид управления: стационарный / удаленный - с помощью модуля опции GSM; Давление рабочее до 3 Атм; Присоединительные размеры патрубков 1'. Регулировка температуры воздуха в помещении от +5 до + 35 С позволяет сократить расходы на отопление за счет поддержания минимальной безопасной температуры. Реализована схема защиты блока управления от кратковременного предельного перенапряжения сети. Группа безопасности: предохранительный сбросной клапан. Есть возможность  подключить модуль GSM, для контроля параметров системы отопления и управления функциями котла с помощью сотового телефона или планшета. GSM - модуль также позволяет получать аварийные оповещения, можно подключить охранную и пожарную сигнализацию, и всегда быть в курсе событий с любой точки мира. Обратите внимание, GSM - модуль в комплект не входит. Установлены датчики: температуры теплоносителя; температуры воздуха в помещении. В подарок датчики: температуры окружающей среды и температуры ГВС. В данной модели не предусмотрен расширительный бак, будьте внимательны. Отопительный котел от Российского производителя, гарантия качества.","{""Страна производства"": ""Россия"", ""Рекомендуемая площадь помещения (кв.м)"": ""120 кв. м"", ""Потребляемая мощность"": ""12 Вт"", ""Газ-контроль"": ""нет"", ""Варианты установки"": ""настенный; Настенное крепление; настенно-потолочный"", ""Автоподжиг"": ""нет"", ""Количество контуров"": ""одноконтурный; 1"", ""Тип отопительного котла"": ""Электрокотел для отопления; электрический котел; электрический"", ""Тепловая мощность"": ""12 кВт"", ""Тип камеры сгорания"": ""нет"", ""Температура горячей воды (°C)"": ""80 C"", ""Гарантийный срок"": ""18 месяцев"", ""Модель"": ""intois Optima H"", ""Вес без упаковки (кг)"": ""13 кг"", ""Ширина предмета"": ""32 см"", ""Глубина предмета"": ""20 см"", ""Высота предмета"": ""51 см"", ""Вес с упаковкой (кг)"": ""16 кг"", ""Длина упаковки"": ""23 см"", ""Высота упаковки"": ""65 см"", ""Ширина упаковки"": ""35 см""}"
Электрический котел отопления 6 кВт.,45777,81600,,0,"Котел отопления ""Интоис Оптима Н"" предназначен для отопления индивидуальных жилых домов, коттеджей, дач, торговых помещений и других отдельно расположенных зданий различного назначения, а также как индивидуальный квартирный генератор тепла. Электрокотел с погодозависимой автоматикой. Полностью автоматизирован и имеет микропроцессорное управление. Предусмотрено 2 режима работы и 4 программы настройки, что позволяет оптимизировать эксплуатацию котла и существенно снижает потребление электроэнергии. Основные параметры: Мощность: 6 кВт (220 В); Ступени переключения: 3*2 кВт; Площадь отапливаемого помещения: 60 кв.м .; Вид управления: стационарный / удаленный - с помощью модуля опции GSM; Давление рабочее до 3 Атм; Присоединительные размеры патрубков 1'. Регулировка температуры воздуха в помещении от +5 до + 35 С позволяет сократить расходы на отопление за счет поддержания минимальной безопасной температуры. Реализована схема защиты блока управления от кратковременного предельного перенапряжения сети. Группа безопасности: предохранительный сбросной клапан. Есть возможность  подключить модуль GSM, для контроля параметров системы отопления и управления функциями котла с помощью сотового телефона или планшета. GSM - модуль также позволяет получать аварийные оповещения, можно подключить охранную и пожарную сигнализацию, и всегда быть в курсе событий с любой точки мира. Обратите внимание, GSM - модуль в комплект не входит. Установлены датчики: температуры теплоносителя; температуры воздуха в помещении. В подарок датчики: температуры окружающей среды и температуры ГВС. В данной модели не предусмотрен расширительный бак, будьте внимательны. Отопительный котел от Российского производителя, гарантия качества.","{""Варианты установки"": ""настенный; Настенное крепление; настенно-потолочный"", ""Страна производства"": ""Россия"", ""Рекомендуемая площадь помещения (кв.м)"": ""60 кв. м"", ""Автоподжиг"": ""нет"", ""Газ-контроль"": ""нет"", ""Тепловая мощность"": ""5 квт"", ""Тип камеры сгорания"": ""нет"", ""Потребляемая мощность"": ""5 Вт"", ""Количество контуров"": ""одноконтурный; 1"", ""Температура горячей воды (°C)"": ""80 C"", ""Тип отопительного котла"": ""Электрокотел для отопления; электрический котел; электрический"", ""Ширина предмета"": ""32 см"", ""Высота предмета"": ""51 см"", ""Глубина предмета"": ""20 см"", ""Вес с упаковкой (кг)"": ""16 кг"", ""Вес без упаковки (кг)"": ""13 кг"", ""Длина упаковки"": ""23 см"", ""Высота упаковки"": ""65 см"", ""Ширина упаковки"": ""35 см"", ""Модель"": ""intois Optima H"", ""Гарантийный срок"": ""18 месяцев""}"
Котел электрический 12 кВт.,36969,65900,,0,"Котел отопления электрический ""Интоис Оптима"" предназначен для отопления индивидуальных жилых домов, коттеджей, дач, торговых помещений и других отдельно расположенных зданий различного назначения, а также как индивидуальный квартирный генератор тепла. Электрокотел с погодозависимой автоматикой. Полностью автоматизирован и имеет микропроцессорное управление. Предусмотрено 2 режима работы и 4 программы настройки, что позволяет оптимизировать эксплуатацию котла и существенно снижает потребление электроэнергии. Основные параметры: Мощность: 12 кВт (380 В); Ступени переключения: 3*4 кВт; Площадь отапливаемого помещения: 120 кв.м .; Вид управления: стационарный / удаленный - с помощью модуля опции GSM; Давление рабочее до 3 Атм; Присоединительные размеры патрубков 1'. Регулировка температуры воздуха в помещении от +5 до + 35 С позволяет сократить расходы на отопление за счет поддержания минимальной безопасной температуры. Реализована схема защиты блока управления от кратковременного предельного перенапряжения сети. Группа безопасности отсутствует. Есть возможность  подключить модуль GSM, для контроля параметров системы отопления и управления функциями котла с помощью сотового телефона или планшета. GSM - модуль также позволяет получать аварийные оповещения, можно подключить охранную и пожарную сигнализацию, и всегда быть в курсе событий с любой точки мира. Обратите внимание, GSM - модуль в комплект не входит. Установлены датчики: температуры теплоносителя; температуры воздуха в помещении. В подарок датчики: температуры окружающей среды и температуры ГВС.  В данной модели не предусмотрен расширительный бак и циркуляционный насос, будьте внимательны. Отопительный котел от Российского производителя, гарантия качества.","{""Тип отопительного котла"": ""Электрокотел для отопления; электрический котел; электрический"", ""Страна производства"": ""Россия"", ""Газ-контроль"": ""нет"", ""Температура горячей воды (°C)"": ""80 C"", ""Количество контуров"": ""одноконтурный; 1"", ""Автоподжиг"": ""нет"", ""Тепловая мощность"": ""12 кВт"", ""Варианты установки"": ""настенный; Настенное крепление; настенно-потолочный"", ""Рекомендуемая площадь помещения (кв.м)"": ""120 кв. м"", ""Потребляемая мощность"": ""12 Вт"", ""Ширина предмета"": ""32 см"", ""Высота предмета"": ""51 см"", ""Глубина предмета"": ""20 см"", ""Вес без упаковки (кг)"": ""13 кг"", ""Вес с упаковкой (кг)"": ""16 кг"", ""Длина упаковки"": ""26 см"", ""Высота упаковки"": ""65 см"", ""Ширина упаковки"": ""35 см"", ""Гарантийный срок"": ""18 месяцев"", ""Модель"": ""Оптима""}"
Электрический котел Wespe Heizung Foreman 8,26350,31000,,0,"Электрический котел Wespe Foreman 8 предназначен для отопления квартир, частных домов площадью до 80 м2 с помощью радиаторов или водяных теплых полов. Отопительный котел имеет 3 ступени мощности, что позволяет ограничивать энергопотребление. ТЭНы из нержавеющей стали. LCD-дисплей с электронным управлением, встроенный суточный таймер, возможность подключения комнатного программатора. Wespe Foreman 8 оснащен встроенной защитой от перегрева, сухого хода и замерзания. За счет своей экономичности котел может с успехом использоваться в качестве резервного источника отопления.Основными достоинствами одноконтурного электрокотла Wespe Foreman 8 являются надежность, безопасность и простота в использовании. Яркий желтый цвет корпуса этих моделей котлов уже хорошо узнаваем потребителями в России.Котел имеет 3-ступенчатое управление мощностью. Возможность установки ограничения мощности до 4;6 и 8 кВт. Использование малой мощности отопительного котла Wespe Foreman 8 актуально для потребителей с небольшими системами отопления и ограниченной электрической мощностью. Также это позволяет минимизировать затраты при эксплуатации системы отопления при сезонном проживании.**Преимущества конструкции:*** Разборный нагревательный узел из нержавейки емкостью 8 литров – дает возможность замены ТЭНов без слива теплоносителя;* Есть разъем для подключения циркуляционного насоса;* Встроенный суточный таймер. Возможность задать температуру с точностью установки в 1 градус позволяет запрограммировать почасовую работу котла на 24 часа. Пользователь может задавать почасовые интервалы работы котла в режиме отопления или режиме ожидания. Экономия электроэнергии;* Патрубки подсоединения;* По умолчанию установлен режим ""теплый пол"" (температура 30 – 55 градусов). При использовании котла для радиаторного отопления (температура 30 – 80) нужно удалить специальную перемычку на кабельном разъеме, находящемся между расширительным баком и нагревательной колбой.Котел Wespe Foreman 8 имеет LCD-дисплей, который позволяет в удобном для пользователя режиме задавать необходимые параметры работы котла. Индикация кодов ошибок на панели управления котла сообщает о неправильной работе или аварийном состоянии котла. Особое место уделено безопасности в эксплуатации:* Защита токов утечки – УЗО обеспечивает защиту от поражения электрическим током;* Защита от замерзания – срабатывает при снижении температуры теплоносителя на выходе из котла, ниже 8 С° автоматически включается насос и подается питание на ТЭН до тех пор, пока температура теплоносителя не повысится до 30 С°, таким образом исключается возможность замораживания системы.* Система самодиагностики, которая постоянно отслеживает работу котла и информирует в случае сбоя, выдает коды ошибок;* Предусмотрена защита от перегрева. При превышении температуры в 100 С° срабатывает ограничитель температуры в нагревательном узле, и электрическое питание котла автоматически отключается;* Защита от «сухого» хода - датчик давления сигнализирует об отсутствии давления в системе, тем самым предохраняя нагревательный блок и циркуляционный насос от поломки.3-ступенчатые электрокотлы Wespe Foreman мощностью от 4,5 до 12 кВт с ЖК-дисплеем, суточным таймером, манометром и датчиком давления в комплекте - независимая система отопления в доме с ограниченной выделенной мощностью электропотребления. Немецкий производитель Wespe Heizung заботится о качестве тепла в Вашем доме на протяжении вот уже более 50 лет!","{""Тип отопительного котла"": ""электрический"", ""Варианты установки"": ""настенный"", ""Тепловая мощность"": ""8"", ""Количество контуров"": ""одноконтурный"", ""Потребляемая мощность"": ""8 Вт"", ""Высота предмета"": ""64 см"", ""Вес без упаковки (кг)"": ""15 кг"", ""Ширина предмета"": ""26 см"", ""Вес с упаковкой (кг)"": ""16 кг"", ""Глубина предмета"": ""16.2 см"", ""Длина упаковки"": ""74 см"", ""Высота упаковки"": ""25 см"", ""Ширина упаковки"": ""35 см"", ""Модель"": ""Foreman 8"", ""Гарантийный срок"": ""2 года""}"
Котел электрический Эван Next 3 кВт,14280,16800,5.0,1,"Электрокотел ЭВАН Next-3 - экономичный, эргономичный, легкий в монтаже и управлении котел для использования в качестве основного источника тепла в жилых и складских помещениях. Может быть использован в качестве резервного источника тепла. Котел представляет собой моноблок, объединяющий котел и пульт управления в едином корпусе. Требуемая температура от 30 до 85 градусов в котле устанавливается встроенным термостатом путем плавной регулировки. Трехступенчатое управление мощностью котла. Для обеспечения безопасности встроенный терморегулятор. Для дополнительной защиты прибор оснащен самовозвратным аварийным термовыключателем, который, в случае выхода из строя основного терморегулятора отключает котел при достижении температуры 92 градуса. ТЭН изготовлен из нержавеющей стали. Блочная конструкция ТЭН на резьбовом соединении, что позволяет существенно упростить его замену. Напряжение 220/380 В. Габариты 600х205х105 мм.  МОЩНОСТЬ 3 кВт. ОТАПЛИВАЕМАЯ ПЛОЩАДЬ 30 КВ. М.","{""Вес с упаковкой (кг)"": ""9 кг"", ""Глубина предмета"": ""10.5 см"", ""Высота предмета"": ""60 см"", ""Ширина предмета"": ""20.5 см"", ""Вес без упаковки (кг)"": ""8 кг"", ""Длина упаковки"": ""15 см"", ""Высота упаковки"": ""62 см"", ""Ширина упаковки"": ""21 см"", ""Модель"": ""NEXT-3"", ""Гарантийный срок"": ""1 год"", ""Количество контуров"": ""1"", ""Температура горячей воды (°C)"": ""85 C"", ""Варианты установки"": ""настенный"", ""Страна производства"": ""Россия"", ""Тепловая мощность"": ""3 кВт"", ""Рекомендуемая площадь помещения (кв.м)"": ""3 кв. м"", ""Потребляемая мощность"": ""3150 Вт"", ""Тип отопительного котла"": ""электрический""}"
Теплообменник битермический Egis 65105094,10174,11970,,0,"Длина рабочей части - 260 мм
Ширина рабочей части - 180мм
Патрубки вход-выход отопление 3/4""
Патрубки вход-выход ГВС 1/2""
Первичный теплообменник подходит для следующего оборудования:

ARISTON аналог оригинального артикула 65105094

EGIS
• 24FF (версии до марта 2008 года)
• CF24","{""Вес с упаковкой (кг)"": ""2 кг"", ""Длина упаковки"": ""36 см"", ""Высота упаковки"": ""12 см"", ""Ширина упаковки"": ""25 см"", ""Тип отопительного котла"": ""Конвекционный"", ""Модель"": ""C40.159"", ""Гарантийный срок"": ""6 месяцев""}"
Теплообменник ГВС 12пл Mini Mythos Major 1.028657,2533,2980,5.0,1,"Общая длина модели - 191 мм
Расстояние между крепежными штуцерами - 151 мм
Количество пластин - 12

Теплообменник ГВС подходит для следующего оборудования

IMMERGAS  1.028657 3.021692 1.031610

Mini
• Eolo 24 3E
• Nike 24 3E

Mythos
• Nike 24 2E
• Eolo 24 2Е

Major
• Eolo 24 4E","{""Модель"": ""mini; mythos; maior"", ""Гарантийный срок"": ""6 месяцев"", ""Вес с упаковкой (кг)"": ""1 кг"", ""Длина упаковки"": ""20 см"", ""Высота упаковки"": ""5 см"", ""Ширина упаковки"": ""5 см"", ""Тип отопительного котла"": ""конвекционный"", ""Количество контуров"": ""двухконтурный""}"
